0000	Ausgabe Ende
0001	Bremsensteuergeraet
0002	Getriebesteuergeraet
0003	Steuergeraet
0004	
0005	
0006	
0007	
0008	
0009	
000A	
000B	
000C	
000D	
000E	
000F	
0010	Stellmotor Fussraum-/ Defrostklappe hinten rechts-V195
0011	Stellmotor Fussraum-/ Defrostklappe hinten links-V196
0012	Stellmotor Kaltklappe-V197
0013	Stellmotor Warmklappe-V198
0014	Stellmotor Absperrklappe Defr. und Mannanstroemer re-V199
0015	Stellmotor Absperrklappe Defr. und Mannanstroemer li-V200
0016	Stellmotor Warmklappe Mittelkonsole hinten re-V201
0017	Stellmotor Warmklappe Mittelkonsole hinten li-V202
0018	Stellmotor Kaltklappe Mittelkonsole hinten re-V203
0019	Stellmotor Kaltklappe Mittelkonsole hinten li-V204
001A	Stellmotor Verteilklappe Defr. oder Mannanstroemer re-V205
001B	Stellmotor Verteilklappe Defr. oder Mannanstroemer li-V206
001C	Stellmotor Designblende links-V207
001D	Stellmotor Designblende mitte-V208
001E	Stellmotor Designblende rechts-V209
001F	Taster fuer Defrost hinten links-E299
0020	Taster fuer Defrost hinten rechts-E300
0021	Taster fuer Ausstroemer vorn links-E301
0022	Taster fuer Ausstroemer vorn mitte links-E302
0023	Taster fuer Ausstroemer vorn mitte rechts-E303
0024	Taster fuer Ausstroemer vorn rechts-E304
0025	Taster fuer Temperaturunter-schied Fussraum/Kopfraum-E305
0026	Taster fuer Ausstroemer Mittelkonsole hinten links-E306
0027	Taster fuer Ausstroemer Mittelkonsole hinten rechts-E307
0028	reserviert Kriegshammer
0029	Stellmotor fuer indirekte Belueftungsklappe-V213
002A	Lampe fuer Parklicht links-M43
002B	Lampe fuer Parklicht rechts-M44
002C	Stellgliedtest Gruppe 1 durchfuehren
002D	Stellgliedtest Gruppe 2 durchfuehren
002E	reserviert Kriegshammer
002F	reserviert Kriegshammer
0030	Temperaturfuehler Waermetauscher links-G306
0031	Temperaturfuehler Waermetauscher rechts-G307
0032	Temperaturfuehler Verdampfer-G308
0033	Temperaturfuehler Fussraum hinten links-G309
0034	Temperaturfuehler Fussraum hinten rechts-G310
0035	Temperaturfuehler Mittelkonsole hinten links-G311
0036	Temperaturfuehler Mittelkonsole hinten rechts-G312
0037	reserviert Kriegshammer
0038	Geblaesemotor fuer Temperaturfuehler Innen -V210
0039	Stellmotor fuer Absperrklappe B-Saeule und Fussraum rechts-V211
003A	Relais fuer Heizung Wischerruhestellung-J582
003B	Klemme 30 fuer Innenbeleuchtung
003C	Lampen fuer  Nebelscheinwerfer
003D	Fussraumleuchten
003E	Funktionsanforderung Fahrwerk
003F	Schalter fuer Rueckfahrleuchten-F4
0040	Stellmotor fuer Absperrklappe B-Saeule und Fussraum links-V212 
0041	Heizelement im Fussraum hinten links-Z42
0042	Heizelement im Fussraum hinten rechts-Z43
0043	Verbraucher 1
0044	Verbraucher 2
0045	reserviert Kriegshammer
0046	Spannung Starterbatterie
0047	Taster fuer Nebelscheinwerfer
0048	Taster fuer Nebelschlussleuchte
0049	Taster fuer Handschuhfach
004A	Sicherung fuer Steckdose 1
004B	Sicherung fuer Steckdose 2
004C	Sicherung fuer Steckdose 3
004D	Endschalter fuer Scheibenwischer
004E	Trennrelais 2.Batterie
004F	Schalter fuer Innenbeleuchtung
0050	Funktionsanforderung Schiebedach
0051	Unterspannungsabschaltung Sitzheizung
0052	Klemme 61 fuer Generator
0053	Vorlauf Kraftstoffpumpe
0054	Umschaltrelais fuer Bordnetzbatterie-J579
0055	Umschaltrelais fuer Starterbatterie-J580
0056	Relais fuer Parallelschaltung Batterien-J581
0057	Klemme 30 fuer startrelevante Verbraucher
0058	Ladeueberwachung fuer Starterbatterie
0059	Leitungsueberwachung fuer Klemme 30  Starterbatterie
005A	Versorgungsleitung Klemme 30 Starterbatterie
005B	Signal Zuendschluessel steckt
005C	Temperaturfuehler Starterbatterie-G331
005D	Klemme 15 fuer startrelevante Verbraucher
005E	reserviert Kriegshammer
005F	reserviert Kriegshammer
0060	reserviert Kriegshammer
0061	reserviert Kriegshammer
0062	reserviert Kriegshammer
0063	reserviert Kriegshammer
0064	reserviert Kriegshammer
0065	reserviert Kriegshammer
0066	reserviert Kriegshammer
0067	reserviert Kriegshammer
0068	reserviert Kriegshammer
0069	reserviert Kriegshammer
006A	reserviert Kriegshammer
006B	reserviert Kriegshammer
006C	reserviert Kriegshammer
006D	reserviert Kriegshammer
006E	reserviert Kriegshammer
006F	reserviert Kriegshammer
0070	reserviert Kriegshammer
0071	reserviert Kriegshammer
0072	reserviert Kriegshammer
0073	reserviert Kriegshammer
0074	reserviert Kriegshammer
0075	reserviert Kriegshammer
0076	reserviert Kriegshammer
0077	reserviert Kriegshammer
0078	reserviert Kriegshammer
0079	reserviert Kriegshammer
007A	reserviert Kriegshammer
007B	reserviert Kriegshammer
007C	reserviert Kriegshammer
007D	reserviert Kriegshammer
007E	reserviert Kriegshammer
007F	reserviert Kriegshammer
0080	reserviert Kriegshammer
0081	reserviert Kriegshammer
0082	reserviert Kriegshammer
0083	reserviert Kriegshammer
0084	reserviert Kriegshammer
0085	reserviert Kriegshammer
0086	reserviert Kriegshammer
0087	reserviert Kriegshammer
0088	reserviert Kriegshammer
0089	reserviert Kriegshammer
008A	reserviert Kriegshammer
008B	reserviert Kriegshammer
008C	reserviert Kriegshammer
008D	reserviert Kriegshammer
008E	reserviert Kriegshammer
008F	reserviert Kriegshammer
0090	reserviert Kriegshammer
0091	reserviert Kriegshammer
0092	reserviert Kriegshammer
0093	reserviert Kriegshammer
0094	reserviert Kriegshammer
0095	reserviert Kriegshammer
0096	reserviert Kriegshammer
0097	reserviert Kriegshammer
0098	reserviert Kriegshammer
0099	reserviert Kriegshammer
009A	reserviert Kriegshammer
009B	reserviert Kriegshammer
009C	reserviert Kriegshammer
009D	reserviert Kriegshammer
009E	reserviert Kriegshammer
009F	reserviert Kriegshammer
00A0	
00A1	
00A2	
00A3	
00A4	
00A5	
00A6	
00A7	
00A8	
00A9	
00AA	
00AB	
00AC	
00AD	
00AE	
00AF	
00B0	
00B1	
00B2	
00B3	
00B4	
00B5	
00B6	
00B7	
00B8	
00B9	
00BA	
00BB	
00BC	
00BD	
00BE	
00BF	
00C0	
00C1	
00C2	
00C3	
00C4	
00C5	
00C6	
00C7	
00C8	
00C9	
00CA	
00CB	
00CC	
00CD	
00CE	
00CF	
00D0	
00D1	
00D2	
00D3	
00D4	
00D5	
00D6	
00D7	
00D8	
00D9	
00DA	
00DB	
00DC	
00DD	
00DE	
00DF	
00E0	
00E1	
00E2	
00E3	
00E4	
00E5	
00E6	
00E7	
00E8	
00E9	
00EA	
00EB	
00EC	
00ED	Magnetventil fuer ABS vorn links-N59
00EE	Magnetventil fuer ABS vorn rechts-N58
00EF	Magnetventil fuer ABS hinten links-N57
00F0	Magnetventil fuer ABS hinten rechts-N56
00F1	Druckregelventil fuer Anti-Schlupf-N238
00F2	Ventil fuer Motordrosselung-N237
00F3	Motorbremse
00F4	Versorgungsspannung fuer ABS-Ventile\nvorn rechts + hinten links
00F5	Versorgungsspannung fuer ABS-Ventile\nvorn links + hinten rechts
00F6	Masse fuer ABS-Ventile\nvorn rechts + hinten links
00F7	Masse fuer ABS-Ventile\nvorn links + hinten rechts
00F8	Schalter fuer Getriebe-E206
00F9	
00FA	Schalter fuer Gelaendebetrieb-E207
00FB	
00FC	
00FD	
00FE	Anti-Schlupf Einstellung fehlt
00FF	Ventile fuer ABS
0100	
0101	Einlassventil ABS vorn links-N101
0102	Magnetventil 1-N88
0103	Einlassventil ABS vorn rechts-N99
0104	Magnetventil 2-N89
0105	Einlassventil ABS hinten-N103
0106	Magnetventil 3-N90
0107	Getriebe
0108	Magnetventil 4-N91
0109	Auslassventil ABS vorn links-N102
010A	Magnetventil 5-N92
010B	Auslassventil ABS vorn rechts-N100
010C	Magnetventil 6-N93
010D	Auslassventil ABS hinten-N104
010E	Magnetventil 7-N94
010F	siehe Reparaturgruppe 01
0110	
0111	Einlassventil ABS hinten rechts-N133
0112	Einlassventil ABS hinten links-N134
0113	Auslassventil ABS hinten rechts-N135
0114	Auslassventil ABS hinten links-N136
0115	Ein-/Auslassventil ABS vorn links-N137
0116	Hauptventil ABS-N105
0117	Ventil 1 fuer Differentialsperre-N125
0118	Ventil 2 fuer Differentialsperre-N126
0119	Geber fuer Fahrgeschwindigkeit-G68
011A	Drosselklappensteller-V60
011B	Drehzahlfuehler vorn links-G47
011C	Ein-/Auslassventil ABS vorn rechts-N138
011D	Drehzahlfuehler vorn rechts-G45
011E	Ein-/Auslassventil ABS hinten links-N139
011F	Drehzahlfuehler hinten rechts-G44
0120	
0121	Ein-/Auslassventil ABS hinten rechts-N140
0122	Drehzahlfuehler hinten links-G46
0123	Druckschalter-F116/Warnkontakt-F117
0124	Hydraulische Energieversorgung Druckniveau
0125	Multifunktionsschalter-F125
0126	Druckschalter 1 fuer Getriebezustand
0127	Druckschalter 2 fuer Getriebezustand
0128	Kick-down-Schalter-F8
